SMILES,TITLE
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)NCC=CBr,s_512____15075154____4839458
CC(C)NC(=O)NCCc1c[nH]c2c1cccc2OC,s_512____158537____15506628
CCNC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_2554____4839470____951600
CC(=O)NCCc1c[nH]c2c1cc(cc2)O,s_22____13909752____58844
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)COCC#C,s_22____4839448____15498218
c1c(cc(c2c1[nH]cc2CCNC(=O)CON)F)F,s_240690b____15144160____13151248
CC#CC(=O)NCCc1c[nH]c2c1cc(cc2Cl)Cl,s_22____10565622____9296322
CCC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____58887
c1cc2c(cc1Cl)c(c[nH]2)CCNC(=O)C[NH3+],s_240690b____7354134____3025698
COc1ccc2c(c1)[nH]cc2CCNC(=O)C(C=C)O,s_22____13978824____10475936
CC(C)(CNC(=O)CON)c1c[nH]c2c1ccc(c2)F,s_240690b____12637968____13151248
CC(C(=O)OC)[NH2+]Cc1cc2cc(ccc2[nH]1)OC,s_270004____9315696____16621896
COCC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_22____4839448____59039
CC#CC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_22____13025516____9296322
CCOc1cccc2c1c(c[nH]2)CCNC(=O)NN,s_273464b____11205440____11234894
C[NH+](C)CC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____2989428
COc1cccc2c1[nH]cc2CCNC(=O)NOC,s_2708____15506640____8988634
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)CC,s_22____13771018____58887
c1cc2c(cc1F)[nH]cc2CCNC(=O)CC[NH3+],s_240690b____7354100____3025680
CSCC(=O)NCCc1c[nH]c2c1c(ccc2)Br,s_22____10303762____60364
CN(C(=O)C[NH2+]Cc1cc2c([nH]1)cc(cc2OC)OC)O,s_207____13973878____15501800
CC(=O)NC(C)(C)Cc1c[nH]c2c1ccc(c2)OC,s_270062____15561760____15585492
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCCC#N,s_22____4839448____10389864
Cc1ccc2c(c1)c(c[nH]2)CCNC(=O)CSC,s_22____13612008____60364
CCC(=O)NCCc1c[nH]c2c1ccc(c2)F,s_22____2366540____58887
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)CON,s_240690b____13771088____13151248
CC(C(=O)NCCc1c[nH]c2c1cccc2Br)[NH3+],s_240690b____16720624____3025692
CC(C)C(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_22____4839448____337030
CCOc1cccc2c1c(c[nH]2)CCNC(=O)N(C)CC#N,s_272164____14971800____9387680
CCC(=O)NCCc1c[nH]c2c1cc(cc2)Cl,s_22____6079110____58887
CC(C(=O)NCCc1c[nH]c2c1cc(cc2)F)[NH3+],s_240690b____17029356____3025692
CN(C)C(=O)C[NH2+]Cc1cc2c([nH]1)cccc2F,s_207____3310404____9105504
COc1ccc2c(c1)[nH]cc2CCNC(=O)COCC=C,s_22____13978824____3489590
