SMILES,TITLE,fragments
O=C(Nc1cccnc1)N[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21,72,x0434
CC1CCC(CNC(=O)Nc2cccnc2)Cc2ccccc21,73,x0434
O=C(Nc1cccnc1)N[C@H]1C[C@H](n2cncn2)C1,74,x0434
O=C(Nc1cccnc1)NC1(Cn2cccn2)CC(F)(F)C1,75,x0434
C#C[C@@H](NC(=O)Nc1cccnc1)C(C)(C)C,76,x0434
CO[C@H]1C[C@@](CO)(NC(=O)Nc2cccnc2)C1,77,x0434
O=C(NCC1(C(F)F)CC2(CCC2)C1)Nc1cccnc1,78,x0434
CS(=O)(=O)[C@H]1CC[C@@H](NC(=O)Nc2cccnc2)CC1,79,x0434
COC(=O)c1ccc(NC(=O)Nc2cccnc2)c2c1CNC2=O,80,x0434
CCOC(=O)[C@H]1C[C@@](F)(CNC(=O)Nc2cccnc2)C1,81,x0434
CCOC(=O)Cc1ccc(NC(=O)Nc2cccnc2)c(C(=O)OCC)c1,82,x0434
NC(=O)C1(NC(=O)Nc2cccnc2)CC(CO)C1,83,x0434
CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2NC(=O)Nc1cccnc1,84,x0434
O=C(NCCOc1c[nH]nc1C(F)(F)F)Nc1cccnc1,85,x0434
O=C(Nc1cccnc1)N[C@@H](C(F)F)C1CC1,86,x0434
CN1CC(C)(CNC(=O)Nc2cccnc2)C1=O,87,x0434
Cn1nccc1[C@@H]1CCCC[C@@H]1NC(=O)Nc1cccnc1,88,x0434
O=C(Nc1cccnc1)NC1C2CC3C(C2)C31CO,89,x0434
CCCO[C@@H]1CCCC[C@H]1NC(=O)Nc1cccnc1,90,x0434
COC(=O)C12CCC(CC1NC(=O)Nc1cccnc1)C2(C)C,91,x0434
COC(=O)c1cc(CNC(=O)Nc2cccnc2)c(C)s1,92,x0434
CCO[C@@H]1CCCCC[C@H]1NC(=O)Nc1cccnc1,93,x0434
O=C(NCC[C@@H]1COC[C@H]1O)Nc1cccnc1,94,x0434
O=C(Nc1cccnc1)NC1CCOCCC1(F)F,95,x0434
O=C(NCC1CC(O)C12CCC2)Nc1cccnc1,96,x0434
C[C@@H](Cc1ccnn1C)NC(=O)Nc1cccnc1,97,x0434
O=C(NCC1(n2ccnn2)CC1)Nc1cccnc1,98,x0434
COc1cccc2c1CCCC(NC(=O)Nc1cccnc1)C2,99,x0434
O=C(Nc1cccnc1)NC1CCC2OCCC2C1,100,x0434
COC(=O)c1cnc2n1CCC(CNC(=O)Nc1cccnc1)C2,101,x0434
O=C(Nc1cccnc1)NC1C2CCCC1COC2,102,x0434
O=C(NCCCCCC1CC1)Nc1cccnc1,103,x0434
COC[C@H](CNC(=O)Nc1cccnc1)OC,104,x0434
Cn1c(N2CC[C@H](NC(=O)Nc3cccnc3)C2)cc(=O)n(C)c1=O,105,x0434
CC(C)(C)C1(NC(=O)Nc2cccnc2)CCC1,106,x0434
C[C@@H](CS(N)(=O)=O)NC(=O)Nc1cccnc1,107,x0434
CC(C)(C)NS(=O)(=O)C1(CNC(=O)Nc2cccnc2)CCC1,108,x0434
CC1(C(CO)NC(=O)Nc2cccnc2)CC1,109,x0434
NS(=O)(=O)C1(CNC(=O)Nc2cccnc2)CCC1,110,x0434
O=C(Nc1ccc(-c2[nH]nc3c2COCC3)cc1)Nc1cccnc1,111,x0434
O=C(NCC1(C2CCCO2)CCC1)Nc1cccnc1,112,x0434
CC1(C)CNCC1CNC(=O)Nc1cccnc1,113,x0434
O=C(NCC12CCC(CO1)C2)Nc1cccnc1,114,x0434
Cn1ccn2c(CNC(=O)Nc3cccnc3)nnc2c1=O,115,x0434
O=C(NC[C@@H]1C[C@H]1CO)Nc1cccnc1,116,x0434
CCO[C@@H]1C[C@H]1NC(=O)Nc1cccnc1,117,x0434
