SMILES,TITLE,docked_fragment,site,inspiration frags,Chemgauss4
c1ccc2c(c1)CC([C@H]2NC(=O)Nc3cccnc3)(F)F,7489,x0434,active-noncovalent,x0434,-9.670104
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)C#N,11542,x0434,active-noncovalent,x0434,-9.665362
COc1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)Nc3cccnc3,13688,x0434,active-noncovalent,x0434,-9.653199
c1cc(cnc1)NC(=O)N[C@@]2(CCCOC2)Cc3ccc(cc3)Cl,2450,x0434,active-noncovalent,x0434,-9.652589
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)C3CCCCC3,641,x0434,active-noncovalent,x0434,-9.651368
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)Cl,14474,x0434,active-noncovalent,x0434,-9.608900
CC1(CCc2ccccc2[C@H]1NC(=O)Nc3cccnc3)C,2812,x0434,active-noncovalent,x0434,-9.599171
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)C(F)(F)F)c3ccc(cc3)F,11656,x0434,active-noncovalent,x0434,-9.596527
c1ccc(c(c1)[C@@H](c2ccc(cc2)F)NC(=O)Nc3cccnc3)I,13781,x0434,active-noncovalent,x0434,-9.589866
c1cc(cnc1)NC(=O)N[C@@H]2CCSc3c2cc(cc3)Br,10662,x0434,active-noncovalent,x0434,-9.582528
c1cc(cc(c1)F)Oc2ccc(cc2NC(=O)Nc3cccnc3)Cl,9879,x0434,active-noncovalent,x0434,-9.578796
c1ccc(cc1)C[C@@H]2C[C@H]2CCNC(=O)Nc3cccnc3,11430,x0434,active-noncovalent,x0434,-9.572595
c1cc(cnc1)NC(=O)N[C@H]2CCS(=O)(=O)c3c2cc(cc3)Br,14455,x0434,active-noncovalent,x0434,-9.566759
COC(=O)[C@H](c1ccc(cc1)Br)NC(=O)Nc2cccnc2,4771,x0434,active-noncovalent,x0434,-9.563612
C[C@@H]1Cc2cc(ccc2[C@H](C1)NC(=O)Nc3cccnc3)OC,3792,x0434,active-noncovalent,x0434,-9.556354
COC(=O)[C@H](c1ccccc1Cl)NC(=O)Nc2cccnc2,6685,x0434,active-noncovalent,x0434,-9.546761
c1cc(cc(c1)I)[C@@H](CC2CCCCC2)NC(=O)Nc3cccnc3,9791,x0434,active-noncovalent,x0434,-9.543938
c1cc(cnc1)NC(=O)Nc2cc(ccc2Oc3ccc(cc3)Cl)Br,13768,x0434,active-noncovalent,x0434,-9.533368
Cc1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)Nc3cccnc3,13797,x0434,active-noncovalent,x0434,-9.526793
c1cc(cc(c1)Br)C2(CCCCC2)NC(=O)Nc3cccnc3,10171,x0434,active-noncovalent,x0434,-9.512869
Cc1c(c2c(ccc(c2[nH]1)Cl)Cl)CCNC(=O)Nc3cccnc3,8007,x0434,active-noncovalent,x0434,-9.506573
CC(C)(C)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,6631,x0434,active-noncovalent,x0434,-9.506411
C[C@@](CCC(F)(F)F)(c1ccccc1)NC(=O)Nc2cccnc2,274,x0434,active-noncovalent,x0434,-9.485169
C[C@](Cc1ccccc1)(c2ccccc2)NC(=O)Nc3cccnc3,2322,x0434,active-noncovalent,x0434,-9.477831
c1ccc(cc1)OC[C@H](c2ccc(c(c2)F)Cl)NC(=O)Nc3cccnc3,11356,x0434,active-noncovalent,x0434,-9.473123
c1cc(cnc1)NC(=O)NC2(CCCC2)Cc3ccc(cc3)Cl,10185,x0434,active-noncovalent,x0434,-9.460291
Cc1ccc(c(c1)Br)C2(CCCCC2)NC(=O)Nc3cccnc3,4244,x0434,active-noncovalent,x0434,-9.451707
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2)F)c3ccc(cc3)F,4038,x0434,active-noncovalent,x0434,-9.445838
COc1ccc(cc1)C2(CCCCC2)NC(=O)Nc3cccnc3,12007,x0434,active-noncovalent,x0434,-9.435404
C[C@H](c1ccccc1C(F)(F)F)[C@@H](C)NC(=O)Nc2cccnc2,4262,x0434,active-noncovalent,x0434,-9.425467
CN1CC[NH+](CC1)C[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,539,x0434,active-noncovalent,x0434,-9.412374
COc1ccc(cc1)C2(CCCCCC2)NC(=O)Nc3cccnc3,2386,x0434,active-noncovalent,x0434,-9.391527
Cc1cc(ccc1OC)C2=NO[C@H](C2)CNC(=O)Nc3cccnc3,13707,x0434,active-noncovalent,x0434,-9.389208
COC(=O)[C@H](c1ccc(cc1)O)NC(=O)Nc2cccnc2,6691,x0434,active-noncovalent,x0434,-9.387699
CC(C)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,8785,x0434,active-noncovalent,x0434,-9.372591
Cc1ccc(cc1)c2cccc(c2)CNC(=O)Nc3cccnc3,622,x0434,active-noncovalent,x0434,-9.366246
COC(=O)[C@H](c1ccccc1Br)NC(=O)Nc2cccnc2,14290,x0434,active-noncovalent,x0434,-9.362473
c1ccc(cc1)OC[C@H](c2ccc(c(c2)Cl)F)NC(=O)Nc3cccnc3,5776,x0434,active-noncovalent,x0434,-9.359311
Cc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,10420,x0434,active-noncovalent,x0434,-9.357281
