SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,docked_fragment
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,2,"x1420,x1392",2043.965611267033,x0749
[CH2-]CC(=O)N(c1ccc(cc1CC2=NC=[NH+][CH+]2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-10,2463_NCL2ACR.0,0,,2043.078572561253,x1374
c1ccc(c(c1)[C+]=[NH2+])NC(=O)Cc2cccnc2,ANT-DIA-3c7-2,2113_NIT.0,5,"x1420,x0759,x1392,x0831,x0830",2034.8480972477635,x0830
[CH2-]C(=O)N1CC[N@@](C[C@H](C1)c2cc(ccc2O)O)Cc3cc(ccc3O)O,AVI-UNI-70b-2,1582_NCL.0,2,"x1420,x1392",2029.8737222061688,x0831
Cc1cccc(c1)CC2C[C@H]3CC[C@@H](C2)N3C(=O)[CH2-],MAK-UNK-af8-8,932_NCL.0,1,x1420,2024.0746473307768,x0195
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,2,"x1420,x1392",2013.6441014179723,x0692
[CH2-]CC(=O)N1CCN(CC1)Cc2cc(cc3c2ccnc3)Cl,JOO-PER-58e-1,1876_NCL2ACR.0,6,"x0769,x0734,x0691,x1402,x0755,x0689",2009.0625694118864,x0830
CCNc1c(c(cs1)[C+]=[NH2+])CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-4,478_NIT.0,0,,2004.6152875898922,x0305
C[C@H]([C@H](c1cc(cc(c1)S(=O)(=O)N)F)NC(=O)C[CH2-])F,JON-UIO-066-13,2682_ACL2ACR.0,0,,1998.6868827637734,x0831
C[C@@H](C1=CC(=C[C@@H]2[C@H]1N=CC2)Cl)NC(=O)C[CH2-],DAV-CRI-eab-6,255_NCL2ACR.0,2,"x1412,x1336",1988.7669545179397,x0831
[CH2-][C@H](c1cccnc1)C(=O)Nc2ccccc2,BEN-DND-031-8,2732_ACR.0,0,,1987.5889482096422,x1358
[CH2-]C(=O)N(c1ccc(cc1CC2=NC=[NH+][CH+]2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-10,2463_NCL.0,0,,1980.3422447149287,x1458
CC1=CCNC=C1N(C(=O)[CH2-])C(=O)NC2CC2,SEL-UNI-842-3,1356_ACL.0,3,"x0734,x0820,x1336",1980.0997164814112,x0107
[CH2-]CC(=O)N1CC[N@@]([C@@H]2[C@H]1N(C(=O)N2)c3cccnc3)Cc4ccccc4,NIM-UNI-36e-2,2139_ACL2ACR.0,0,,1979.6232718845667,x1386
[CH2-]C(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL.0,0,,1979.4516082552184,x0830
CCNc1c(cc(cn1)[C+]=[NH2+])Oc2nc(cs2)c3ccc(cc3)F,GAB-REV-df6-8,337_NIT.0,0,,1973.9885721815824,x0305
[CH2-]CC(=O)N1Cc2ccccc2[C@@H]([C@H]1C(=O)Nc3cccnc3)c4ccccc4,DAV-CRI-1c7-6,2471_NCL2ACR.0,0,,1973.6103941293,x1392
CO[c-]1[cH-][c-]2[c-]([cH-][c-]1O)[nH][cH-][c-]2CCNC(=O)[CH2-],JOH-MSK-a63-1,1027_ACL.0,1,x1392,1967.6106855850096,x0104
[CH2-]C(=O)N1CC[N@](C[C@@H]1Oc2ccc(cc2)F)S(=O)(=O)c3ccc(s3)Cl,SAL-INS-1ea-2,2424_NCL.0,2,"x1420,x1392",1966.9053358795845,x1402
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,0,,1964.767909546218,x0434
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,0,,1960.3454466293613,x0830
[CH2-]C(=O)N1CCN(CC1)C(=O)Cc2ccccn2,JON-UIO-066-3,2672_ACL.0,7,"x0734,x1334,x1380,x1458,x1412,x0820,x1336",1958.4097814223483,x0831
Cc1cc(cc(c1)Cl)CC2CCN(CC2)C(=O)[CH2-],NIR-THE-0d6-8,2608_NCL.0,7,"x0734,x1334,x1380,x1458,x1412,x1336,x1385",1957.717050436885,x0770
CC(C)N(C)C(=O)[C@@H]1CCN(C[C@H]1C[C@H]2C=CC=[S@H]2)C(=O)[CH2-],DAV-CRI-7eb-1,1450_NCL.0,0,,1956.8367829094227,x1418
Cc1ccc(c(c1)CC2=NC=[NH+][CH+]2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)C[CH2-],SAL-INS-1c7-9,2462_NCL2ACR.0,0,,1954.935714468421,x1385
c1csc(c1[C+]=[NH2+])CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-1,475_NIT.0,2,"x0831,x0692",1954.2957631050756,x0305
[CH2-]C(=O)N1CCN(CC1)Cc2ccc3ccc(cc3c2)S(=O)(=O)N,JAN-GHE-1d9-1,2427_ACL.0,2,"x0831,x0692",1953.1317276736788,x0195
[CH2-]CC(=O)N1Cc2ccccc2[C@@H]([C@H]1C(=O)Nc3cccnc3)c4ccccc4,DAV-CRI-1c7-6,2471_NCL2ACR.0,0,,1951.5005813725754,x0759
[CH2-][C@H](c1cccnc1)C(=O)Nc2ccccc2,BEN-DND-031-8,2732_ACR.0,0,,1947.2115080393432,x0995
[CH2-]C(=O)N1CC[N@]([C@@H](C1)C(=O)N)Cc2cccc(c2)Cl,DAN-LON-a5f-1,1037_NCL.0,2,"x1412,x1336",1946.9545058231101,x0770
[CH2-]C(=O)N(c1ccc(cc1Cc2ccccc2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-8,2461_NCL.0,0,,1938.392579275637,x1458
CCNc1c(cc(cn1)[C+]=[NH2+])NC(=O)Nc2cnccc2C,TRY-UNI-1fd-2,2398_NIT.0,0,,1934.7359079428225,x0104
[CH2-]C(=O)N1Cc2ccccc2[C@H](C1)c3ccccc3CC(=O)N,NIR-THE-c33-5,626_NCL.0,0,,1933.9161619308863,x0874
