SMILES,CID,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM
NS(=O)(=O)c1ccc(N2CCC(CO)CC2)cc1,WAR-XCH-b72a1bbc-14,,,,3.95,0.594,7.03,0.975,1.0,1.0
NS(=O)(=O)c1ccc(N2CCC(c3ccncc3)CC2)cc1,WAR-XCH-b72a1bbc-15,,,,0.875,0.328,1.65,0.621,1.0,0.94
NS(=O)(=O)c1ccc(N2CCC(c3ccsc3)CC2)cc1,WAR-XCH-b72a1bbc-16,,,,7.4,0.16,17.1,0.0726,0.98,0.76
NS(=O)(=O)c1ccc(N2CCC([C@@H]3CCCO3)CC2)cc1,WAR-XCH-b72a1bbc-18,,,,,,4.23,0.489,,
NS(=O)(=O)c1ccc(N2CCC(CN3CCCCCC3)CC2)cc1,WAR-XCH-b72a1bbc-20,,,,-5.53,5.18,-0.987,1.55,0.99,0.91
COCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-23,,,,,,3.85,0.718,,
CCSCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-39,,,,,,6.96,1.63,,
CC(C)N(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-48,,,,,,2.5,1.96,,
CCN(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,WAR-XCH-b72a1bbc-49,,,,3.39,0.498,6.02,1.2,1.0,0.98
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca05062-1,,,,7.22,1.3,13.0,1.35,0.83,0.53
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca05062-2,,,,2.31,0.138,6.72,0.179,0.82,0.32
Cc1cccc(C)c1OCC(=O)NCCc1ccccc1,ALE-UNK-fca05062-3,,,,1.78,1.98,7.25,1.1,1.0,0.98
O=C(COc1ccccc1)NCCc1ccccc1,ALE-UNK-fca05062-4,,,,-0.178,1.95,-0.0738,2.77,1.0,1.0
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca05062-9,,,,0.814,2.71,-2.74,0.376,1.0,1.0
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,JOH-UNK-14e6adc5-2,,,,5.82,0.482,11.6,0.824,1.0,1.0
Cc1ccncc1NC(=O)CCNc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-3,,,,,,6.53,1.08,,
Cc1ccncc1NC(=O)CC(C)(C)NC(=O)c1cccc2[nH]ccc12,GAB-REV-70cc3ca5-6,,,,,,3.87,0.647,,
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-20,,,,4.76,1.42,10.9,0.786,1.0,1.0
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ALV-UNI-7ff1a6f9-45,,,,3.57,2.7,8.23,1.36,0.98,0.94
O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,ALV-UNI-7ff1a6f9-46,,,,-2.55,4.03,3.43,0.58,0.9,0.38
COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ALV-UNI-7ff1a6f9-47,,,,3.47,0.377,6.09,0.746,0.95,0.91
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-2610ee4d-1,,,,1.37,3.81,-0.962,1.03,1.0,0.99
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-6,,,,0.866,2.74,5.19,0.742,1.0,0.99
CS(=O)(=O)Nc1cccc(C(=O)Oc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-9159f8ed-7,,,,,,32.0,1.8,,
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,GER-UNI-ec786817-1,,,,-0.548,0.936,3.97,0.598,1.0,0.98
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-1,,,,,,18.2,7.97,,
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-7098f804-4,,,,5.47,3.87,5.58,1.3,0.91,0.7
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,CHR-SOS-7098f804-7,,,,3.75,1.9,8.41,0.723,1.0,0.89
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,CHR-SOS-7098f804-11,,,,18.3,5.97,22.8,0.315,1.0,0.89
O=C(Nc1cccnc1)c1cccc(Cl)c1,CHR-SOS-7098f804-12,,,,5.47,4.83,6.67,1.98,1.0,0.92
Cc1ccncc1NC(=O)Nc1ccccc1,TRY-UNI-714a760b-4,,,,,,5.51,4.97,,
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714a760b-5,,,,8.19,0.345,19.5,0.723,1.0,1.0
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-6,25.4,3.25,> 49.5,61.6,1.62,81.8,0.414,1.0,1.0
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714a760b-12,68.0,7.1,> 99.0,32.1,0.539,58.7,0.386,0.99,0.96
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714a760b-18,27.2,3.7,> 49.5,58.0,0.177,78.7,0.239,1.0,1.0
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-20,63.7,8.5,> 49.5,33.6,0.817,58.3,0.0957,1.0,1.01
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,55.2,3.65,> 99.0,35.4,1.38,61.4,0.439,1.0,1.0
Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,TRY-UNI-714a760b-24,,,,19.4,2.58,44.3,0.178,1.0,0.97
O=C(CC(=O)N1CCOCC1)Nc1ccccc1,GIA-UNK-3f36037a-2,,,,,,6.66,1.94,,
O=C(CC(=O)Nc1ccncc1)Nc1ccccc1,GIA-UNK-3f36037a-7,,,,,,-16.6,6.58,,
C=CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13e14cc-1,,,,,,2.57,2.14,,
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,AAR-POS-dddeddbf-1,,,,,,18.7,3.38,,
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,AAR-POS-dddeddbf-2,,,,,,10.7,10.7,,
Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,AAR-POS-dddeddbf-3,,,,,,15.7,0.646,,
